Total Agents, Precision, Jacobi, Gauss-Seidel
5,-6,1.23227579251761E-06,8.21517195159771E-07
5,-10,8.88779050356447E-11,5.92521587350348E-11
5,-14,6.43929354282591E-15,4.44089209850063E-15
6,-6,8.70212037595852E-07,1.08224045836103E-06
6,-10,7.24839077648198E-11,9.01447805290445E-11
6,-14,5.99520433297585E-15,7.43849426498855E-15
7,-6,2.06361604609961E-06,1.64545284714324E-06
7,-10,1.90693738577608E-10,1.52052204160924E-10
7,-14,1.75970349403087E-14,1.39332989590457E-14
8,-6,1.74716967527022E-06,2.01019062284757E-06
8,-10,1.78032977249387E-10,2.04834205153048E-10
8,-14,2.13717932240343E-14,1.69864122767649E-14
9,-6,1.71000940352162E-06,1.97099030677106E-06
9,-10,2.20523155292085E-10,1.83827286726057E-10
9,-14,2.44249065417534E-14,2.02338146237935E-14
10,-6,2.98928634911988E-06,2.55769547741203E-06
10,-10,2.03513872421013E-10,2.34571473356482E-10
10,-14,2.28705943072782E-14,2.66453525910038E-14
